U_LED,I,err_u,err_I
0.02,0.0,0.0,0.0
0.035,0.0,0.005,0.0
0.065,0.0,0.0050000000000000044,0.0
0.07999999999999999,4.545454545454546e-05,0.01,4.545454545454546e-05
0.125,0.0,0.0050000000000000044,0.0
0.125,0.0,0.024999999999999994,0.0
0.16999999999999998,2.272727272727273e-05,1.3877787807814457e-17,2.272727272727273e-05
0.195,2.272727272727273e-05,0.014999999999999998,2.272727272727273e-05
0.235,4.545454545454546e-05,0.014999999999999998,4.545454545454546e-05
0.24,2.272727272727273e-05,0.02,2.272727272727273e-05
0.305,0.0,0.0050000000000000044,0.0
0.31,2.272727272727273e-05,0.020000000000000018,2.272727272727273e-05
0.305,0.0001590909090909091,0.024999999999999963,6.818181818181817e-05
0.39,2.272727272727273e-05,0.010000000000000009,2.272727272727273e-05
0.405,0.0,0.024999999999999994,0.0
0.43000000000000005,6.818181818181818e-05,0.009999999999999981,6.818181818181818e-05
0.47,2.272727272727273e-05,0.0,2.272727272727273e-05
0.515,0.0,0.0050000000000000044,0.0
0.545,0.0,0.0050000000000000044,0.0
0.57,0.0,0.0,0.0
0.575,0.0,0.024999999999999963,0.0
0.635,0.0,0.0050000000000000044,0.0
0.65,2.272727272727273e-05,0.010000000000000009,2.272727272727273e-05
0.6799999999999999,0.0,0.009999999999999953,0.0
0.725,0.0,0.0050000000000000044,0.0
0.75,0.0,0.0,0.0
0.755,2.272727272727273e-05,0.015000000000000012,2.272727272727273e-05
0.8049999999999999,6.818181818181818e-05,0.014999999999999956,2.272727272727273e-05
0.835,0.0,0.0050000000000000044,0.0
0.855,0.0,0.015000000000000012,0.0
0.895,6.818181818181818e-05,0.025000000000000022,6.818181818181818e-05
0.935,0.0,0.004999999999999949,0.0
0.955,0.0,0.0050000000000000044,0.0
0.98,0.0,0.0,0.0
0.985,0.00011363636363636364,0.025000000000000022,0.00011363636363636364
1.06,0.0,0.040000000000000036,0.0
1.0750000000000002,0.0,0.0050000000000000044,0.0
1.1,0.0,0.010000000000000009,0.0
1.1549999999999998,2.272727272727273e-05,0.015000000000000012,2.272727272727273e-05
1.17,0.0,0.020000000000000018,0.0
1.22,0.0,0.020000000000000018,0.0
1.2,0.00011363636363636364,0.030000000000000023,0.00011363636363636364
1.25,2.272727272727273e-05,0.010000000000000009,2.272727272727273e-05
1.27,4.545454545454546e-05,0.010000000000000009,4.545454545454546e-05
1.295,0.0,0.0050000000000000044,0.0
1.3450000000000002,0.0,0.0050000000000000044,0.0
1.38,0.0,0.0,0.0
1.395,4.545454545454546e-05,0.015000000000000012,4.545454545454546e-05
1.435,2.272727272727273e-05,0.0050000000000000044,2.272727272727273e-05
1.435,0.00011363636363636364,0.025000000000000022,0.00011363636363636364
1.505,0.0,0.0050000000000000044,0.0
1.54,2.272727272727273e-05,0.010000000000000009,2.272727272727273e-05
1.55,0.0,0.0,0.0
1.58,2.272727272727273e-05,0.0,2.272727272727273e-05
1.57,4.545454545454546e-05,0.040000000000000036,4.545454545454546e-05
1.6349999999999998,4.545454545454546e-05,0.0050000000000000044,0.0
1.6549999999999998,9.090909090909092e-05,0.0050000000000000044,0.0
1.685,9.090909090909092e-05,0.0050000000000000044,0.0
1.69,0.00020454545454545454,0.0,2.272727272727272e-05
1.69,0.00022727272727272727,0.010000000000000009,0.0
1.73,0.0003181818181818182,0.0,0.0
1.685,0.0004318181818181818,0.04500000000000005,2.272727272727273e-05
1.74,0.0005,0.0,0.0
1.74,0.0006363636363636364,0.010000000000000009,0.0
1.75,0.00075,0.020000000000000018,6.81818181818182e-05
1.79,0.00075,0.020000000000000018,6.81818181818182e-05
1.775,0.0009090909090909091,0.0050000000000000044,0.0
1.7799999999999998,0.0010454545454545456,0.019999999999999907,0.0
1.78,0.0011363636363636363,0.010000000000000009,0.0
1.775,0.0012500000000000002,0.0050000000000000044,2.2727272727272675e-05
1.75,0.0014318181818181817,0.02000000000000013,6.818181818181825e-05
1.7799999999999998,0.0015227272727272728,1.1102230246251565e-16,2.2727272727272787e-05
1.8000000000000003,0.0015,0.019999999999999907,0.0001363636363636364
1.775,0.001681818181818182,0.015000000000000123,0.0
1.8200000000000003,0.0017499999999999998,0.02000000000000013,0.0001136363636363636
1.795,0.0019772727272727273,0.0050000000000000044,2.2727272727272787e-05
1.7999999999999998,0.002090909090909091,0.010000000000000009,4.545454545454535e-05
1.815,0.0022045454545454547,0.0050000000000000044,2.272727272727257e-05
1.7799999999999998,0.002340909090909091,0.009999999999999898,2.2727272727272787e-05
1.81,0.0024772727272727273,0.019999999999999907,6.818181818181813e-05
1.7499999999999998,0.002681818181818182,0.0900000000000001,0.00013636363636363626
