U_LED,I
0.99,4.545454545454546e-05
1.04,2.272727272727273e-05
1.08,6.818181818181818e-05
1.09,4.545454545454546e-05
1.125,0.0
1.12,0.0
1.1949999999999998,4.545454545454546e-05
1.21,2.272727272727273e-05
1.24,2.272727272727273e-05
1.27,0.0
1.3050000000000002,0.0
1.34,2.272727272727273e-05
1.36,0.0
1.39,0.0
1.41,0.0
1.455,0.0
1.51,0.0
1.52,2.272727272727273e-05
1.55,0.0
1.57,0.0
1.58,9.090909090909092e-05
1.6199999999999999,9.090909090909092e-05
1.6349999999999998,0.00011363636363636364
1.6549999999999998,9.090909090909092e-05
1.68,0.00018181818181818183
1.7,0.00018181818181818183
1.72,0.00029545454545454547
1.7349999999999999,0.00036363636363636367
1.775,0.0003181818181818182
1.765,0.0005
1.735,0.0007045454545454546
1.815,0.0006136363636363636
1.77,0.0008636363636363636
1.78,0.0009318181818181819
1.76,0.0011136363636363635
1.845,0.0009545454545454547
1.8399999999999999,0.0011136363636363635
1.7999999999999998,0.0014318181818181819
1.8299999999999998,0.0014090909090909093
1.805,0.0016363636363636363
1.82,0.0017045454545454547
1.8800000000000001,0.0016136363636363635
1.81,0.0019772727272727273
1.8,0.002090909090909091
1.88,0.002
1.85,0.002181818181818182
1.8099999999999998,0.0025
1.82,0.0026136363636363636
1.78,0.002840909090909091
1.8350000000000002,0.0027954545454545454
1.84,0.0029545454545454545
1.8150000000000002,0.0030454545454545456
1.845,0.0031818181818181815
1.8250000000000002,0.0033409090909090906
1.83,0.0034318181818181817
1.855,0.003522727272727273
1.845,0.0036363636363636364
1.8550000000000002,0.0038181818181818182
1.9000000000000004,0.0037272727272727275
1.8700000000000003,0.0039545454545454545
1.87,0.004159090909090909
1.86,0.004181818181818182
1.885,0.0042727272727272735
1.8499999999999999,0.004590909090909091
1.8699999999999999,0.004454545454545454
1.85,0.004750000000000001
1.8250000000000002,0.004931818181818181
